"fdc_id","food_code","wweia_category_code","start_date","end_date"
"336389","11710919","9404","2013-01-01","2014-12-31"
"336390","11710920","9402","2013-01-01","2014-12-31"
"336391","11710923","9404","2013-01-01","2014-12-31"
"336392","11710927","9404","2013-01-01","2014-12-31"
"336393","11710928","9404","2013-01-01","2014-12-31"
"336394","11710929","9404","2013-01-01","2014-12-31"
"336395","11710930","9402","2013-01-01","2014-12-31"
"336396","11710933","9404","2013-01-01","2014-12-31"
"336397","11710937","9404","2013-01-01","2014-12-31"
"336398","11710938","9404","2013-01-01","2014-12-31"
"336399","11710939","9404","2013-01-01","2014-12-31"
"336400","11710940","9402","2013-01-01","2014-12-31"
"336401","11710943","9404","2013-01-01","2014-12-31"
"336402","11710947","9404","2013-01-01","2014-12-31"
"336403","11710948","9404","2013-01-01","2014-12-31"
"336404","11710949","9404","2013-01-01","2014-12-31"
"336405","11710960","9402","2013-01-01","2014-12-31"
"336406","11710961","9406","2013-01-01","2014-12-31"
"336407","11710962","9404","2013-01-01","2014-12-31"
"336408","11710963","9402","2013-01-01","2014-12-31"
"336409","11710964","9406","2013-01-01","2014-12-31"
"336410","11710965","9406","2013-01-01","2014-12-31"
"336411","11710966","9406","2013-01-01","2014-12-31"
"336412","11710967","9404","2013-01-01","2014-12-31"
"336413","11710968","9404","2013-01-01","2014-12-31"
"336414","11710969","9404","2013-01-01","2014-12-31"
"336415","11720310","9402","2013-01-01","2014-12-31"
"336416","11720311","9402","2013-01-01","2014-12-31"
"336417","11720312","9406","2013-01-01","2014-12-31"
"336418","11720313","9404","2013-01-01","2014-12-31"
"336419","11720314","9406","2013-01-01","2014-12-31"
"336420","11720315","9406","2013-01-01","2014-12-31"
"336421","11720316","9406","2013-01-01","2014-12-31"
"336422","11720317","9404","2013-01-01","2014-12-31"
"336423","11720318","9404","2013-01-01","2014-12-31"
"336424","11720319","9404","2013-01-01","2014-12-31"
"336425","11720320","9402","2013-01-01","2014-12-31"
"336426","11720323","9404","2013-01-01","2014-12-31"
"336427","11720327","9404","2013-01-01","2014-12-31"
"336428","11720328","9404","2013-01-01","2014-12-31"
"336429","11720329","9404","2013-01-01","2014-12-31"
"336430","11720410","9402","2013-01-01","2014-12-31"
"336431","11720411","9402","2013-01-01","2014-12-31"
"336432","11720412","9406","2013-01-01","2014-12-31"
"336433","11720413","9404","2013-01-01","2014-12-31"
"336434","11720414","9406","2013-01-01","2014-12-31"
"336435","11720415","9406","2013-01-01","2014-12-31"
"336436","11720416","9406","2013-01-01","2014-12-31"
"336437","11720417","9404","2013-01-01","2014-12-31"
"336438","11720418","9404","2013-01-01","2014-12-31"
"336439","11720419","9404","2013-01-01","2014-12-31"
"336440","11720430","9402","2013-01-01","2014-12-31"
"336441","11720431","9402","2013-01-01","2014-12-31"
"336442","11720440","9402","2013-01-01","2014-12-31"
"336443","11720443","9404","2013-01-01","2014-12-31"
"336444","11720447","9404","2013-01-01","2014-12-31"
"336445","11720448","9404","2013-01-01","2014-12-31"
"336446","11720449","9404","2013-01-01","2014-12-31"
"336447","11720610","9402","2013-01-01","2014-12-31"
"336448","11720611","9402","2013-01-01","2014-12-31"
"336449","11720612","9406","2013-01-01","2014-12-31"
"336450","11720613","9404","2013-01-01","2014-12-31"
"336451","11720614","9406","2013-01-01","2014-12-31"
"336452","11720615","9406","2013-01-01","2014-12-31"
"336453","11720616","9406","2013-01-01","2014-12-31"
"336454","11720617","9404","2013-01-01","2014-12-31"
"336455","11720618","9404","2013-01-01","2014-12-31"
"336456","11720619","9404","2013-01-01","2014-12-31"
"336457","11720620","9402","2013-01-01","2014-12-31"
"336458","11720623","9404","2013-01-01","2014-12-31"
"336459","11720627","9404","2013-01-01","2014-12-31"
"336460","11720628","9404","2013-01-01","2014-12-31"
"336461","11720629","9404","2013-01-01","2014-12-31"
"336462","11720800","9402","2013-01-01","2014-12-31"
"336463","11720801","9402","2013-01-01","2014-12-31"
"336464","11720802","9406","2013-01-01","2014-12-31"
"336465","11720803","9404","2013-01-01","2014-12-31"
"336466","11720804","9406","2013-01-01","2014-12-31"
"336467","11720805","9406","2013-01-01","2014-12-31"
"336468","11720806","9406","2013-01-01","2014-12-31"
"336469","11720807","9404","2013-01-01","2014-12-31"
"336470","11720808","9404","2013-01-01","2014-12-31"
"336471","11720809","9404","2013-01-01","2014-12-31"
"336472","11740310","9402","2013-01-01","2014-12-31"
"336473","11740311","9402","2013-01-01","2014-12-31"
"336474","11740312","9406","2013-01-01","2014-12-31"
"336475","11740313","9404","2013-01-01","2014-12-31"
"336476","11740314","9406","2013-01-01","2014-12-31"
"336477","11740315","9406","2013-01-01","2014-12-31"
"336478","11740316","9406","2013-01-01","2014-12-31"
"336479","11740317","9404","2013-01-01","2014-12-31"
"336480","11740318","9404","2013-01-01","2014-12-31"
"336481","11740319","9404","2013-01-01","2014-12-31"
"336482","11740320","9402","2013-01-01","2014-12-31"
"336483","11740323","9404","2013-01-01","2014-12-31"
"336484","11740327","9404","2013-01-01","2014-12-31"
"336485","11740328","9404","2013-01-01","2014-12-31"
"336486","11740329","9404","2013-01-01","2014-12-31"
"336487","11740400","9402","2013-01-01","2014-12-31"
"336488","11740401","9402","2013-01-01","2014-12-31"
"336489","11740403","9404","2013-01-01","2014-12-31"
"336490","11740407","9404","2013-01-01","2014-12-31"
"336491","11740408","9404","2013-01-01","2014-12-31"
"336492","11740409","9404","2013-01-01","2014-12-31"
"336493","11740510","9402","2013-01-01","2014-12-31"
"336494","11740511","9402","2013-01-01","2014-12-31"
"336495","11740520","9402","2013-01-01","2014-12-31"
"336496","11740521","9402","2013-01-01","2014-12-31"
"336497","11740540","9402","2013-01-01","2014-12-31"
"336498","11740541","9402","2013-01-01","2014-12-31"
"336499","11740550","9402","2013-01-01","2014-12-31"
"336500","11740551","9402","2013-01-01","2014-12-31"
"336501","11810000","9999","2013-01-01","2014-12-31"
"336502","11811000","9999","2013-01-01","2014-12-31"
"336503","11812000","9999","2013-01-01","2014-12-31"
"336504","11813000","9999","2013-01-01","2014-12-31"
"336505","11825000","9999","2013-01-01","2014-12-31"
"336506","11830100","9999","2013-01-01","2014-12-31"
"336507","11830115","9999","2013-01-01","2014-12-31"
"336508","11830150","9999","2013-01-01","2014-12-31"
"336509","11830160","9999","2013-01-01","2014-12-31"
"336510","11830165","9999","2013-01-01","2014-12-31"
"336511","11830260","9999","2013-01-01","2014-12-31"
"336512","11830400","9999","2013-01-01","2014-12-31"
"336513","12100100","8008","2013-01-01","2014-12-31"
"336514","12110100","8008","2013-01-01","2014-12-31"
"336515","12110300","8006","2013-01-01","2014-12-31"
"336516","12120100","8008","2013-01-01","2014-12-31"
"336517","12120105","8008","2013-01-01","2014-12-31"
"336518","12120110","8008","2013-01-01","2014-12-31"
"336519","12130100","8008","2013-01-01","2014-12-31"
"336520","12130200","8006","2013-01-01","2014-12-31"
"336521","12140000","8006","2013-01-01","2014-12-31"
"336522","12140100","8006","2013-01-01","2014-12-31"
"336523","12140105","8006","2013-01-01","2014-12-31"
"336524","12140110","8006","2013-01-01","2014-12-31"
"336525","12200100","8008","2013-01-01","2014-12-31"
"336526","12210100","8008","2013-01-01","2014-12-31"
"336527","12210200","8008","2013-01-01","2014-12-31"
"336528","12210210","8008","2013-01-01","2014-12-31"
"336529","12210250","8008","2013-01-01","2014-12-31"
"336530","12210255","8008","2013-01-01","2014-12-31"
"336531","12210260","8008","2013-01-01","2014-12-31"
"336532","12210270","8008","2013-01-01","2014-12-31"
"336533","12210305","8008","2013-01-01","2014-12-31"
"336534","12210310","8008","2013-01-01","2014-12-31"
"336535","12210400","8008","2013-01-01","2014-12-31"
"336536","12210410","8008","2013-01-01","2014-12-31"
"336537","12210420","8008","2013-01-01","2014-12-31"
"336538","12210430","8008","2013-01-01","2014-12-31"
"336539","12210440","8008","2013-01-01","2014-12-31"
"336540","12210500","8008","2013-01-01","2014-12-31"
"336541","12210505","8008","2013-01-01","2014-12-31"
"336542","12220000","8006","2013-01-01","2014-12-31"
"336543","12220100","8006","2013-01-01","2014-12-31"
"336544","12220200","8006","2013-01-01","2014-12-31"
"336545","12220250","8006","2013-01-01","2014-12-31"
"336546","12220270","8006","2013-01-01","2014-12-31"
"336547","12220280","8006","2013-01-01","2014-12-31"
"336548","12220300","8006","2013-01-01","2014-12-31"
"336549","12220400","8006","2013-01-01","2014-12-31"
"336550","12310100","8006","2013-01-01","2014-12-31"
"336551","12310200","8006","2013-01-01","2014-12-31"
"336552","12310300","8006","2013-01-01","2014-12-31"
"336553","12310350","8006","2013-01-01","2014-12-31"
"336554","12310370","8006","2013-01-01","2014-12-31"
"336555","12320100","8006","2013-01-01","2014-12-31"
"336556","12320200","8006","2013-01-01","2014-12-31"
"336557","12350000","8412","2013-01-01","2014-12-31"
"336558","12350020","8412","2013-01-01","2014-12-31"
"336559","12350100","8412","2013-01-01","2014-12-31"
"336560","12350110","8412","2013-01-01","2014-12-31"
"336561","13110000","5802","2013-01-01","2014-12-31"
"336562","13110100","5802","2013-01-01","2014-12-31"
"336563","13110110","5802","2013-01-01","2014-12-31"
"336564","13110120","5802","2013-01-01","2014-12-31"
"336565","13110130","5802","2013-01-01","2014-12-31"
"336566","13110140","5802","2013-01-01","2014-12-31"
"336567","13110200","5802","2013-01-01","2014-12-31"
"336568","13110210","5802","2013-01-01","2014-12-31"
