"id","fdc_id","name","pct_weight","is_refuse","gram_weight","data_points","min_year_acquired"
"57238","330999","Separable Lean","","N","88.2","1",""
"57239","331000","Handling loss","","N","2.8","1",""
"57240","331000","Skin and separable fat","","Y","11.7","1",""
"57241","331000","Bone and cartilage","","Y","43.8","1",""
"57242","331000","Edible portion","","N","72.8","1",""
"57243","331000","Total gram weight","","N","131","1",""
"57244","331000","Separable Lean","","N","72.8","1",""
"57245","331001","Handling loss","","N","3.9","1",""
"57246","331001","Skin and separable fat","","Y","13.1","1",""
"57247","331001","Bone and cartilage","","Y","43.1","1",""
"57248","331001","Edible portion","","N","70","1",""
"57249","331001","Total gram weight","","N","130","1",""
"57250","331001","Separable Lean","","N","70","1",""
"57251","331002","Handling loss","","N","5.1","1",""
"57252","331002","Skin and separable fat","","Y","11.1","1",""
"57253","331002","Bone and cartilage","","Y","35.5","1",""
"57254","331002","Edible portion","","N","63","1",""
"57255","331002","Total gram weight","","N","115","1",""
"57256","331002","Separable Lean","","N","63","1",""
"57257","331003","Handling loss","","N","4.6","1",""
"57258","331003","Skin and separable fat","","Y","13.1","1",""
"57259","331003","Bone and cartilage","","Y","42.9","1",""
"57260","331003","Edible portion","","N","66.1","1",""
"57261","331003","Total gram weight","","N","127","1",""
"57262","331003","Separable Lean","","N","66.1","1",""
"57263","331004","Handling loss","","N","2.4","1",""
"57264","331004","Skin and separable fat","","Y","13.2","1",""
"57265","331004","Bone and cartilage","","Y","53.8","1",""
"57266","331004","Edible portion","","N","87.2","1",""
"57267","331004","Total gram weight","","N","157","1",""
"57268","331004","Separable Lean","","N","87.2","1",""
"57269","331005","Edible portion","","N","62.8","1",""
"57270","331005","Handling loss","","N","10.1","1",""
"57271","331005","Skin and separable fat","","Y","7.1","1",""
"57272","331005","Bone and cartilage","","Y","52.6","1",""
"57273","331005","Total gram weight","","N","133","1",""
"57274","331005","Separable Lean","","N","62.8","1",""
"57275","331006","Handling loss","","N","5.7","1",""
"57276","331006","Skin and separable fat","","Y","16.4","1",""
"57277","331006","Bone and cartilage","","Y","46.3","1",""
"57278","331006","Edible portion","","N","86.1","1",""
"57279","331006","Total gram weight","","N","154","1",""
"57280","331006","Separable Lean","","N","86.1","1",""
"57281","331007","Handling loss","","N","4.3","1",""
"57282","331007","Skin and separable fat","","Y","9","1",""
"57283","331007","Bone and cartilage","","Y","36.1","1",""
"57284","331007","Edible portion","","N","63.5","1",""
"57285","331007","Total gram weight","","N","113","1",""
"57286","331007","Separable Lean","","N","63.5","1",""
"57287","331008","Edible portion","","N","72.4","1",""
"57288","331008","Handling loss","","N","5","1",""
"57289","331008","Skin and separable fat","","Y","10.8","1",""
"57290","331008","Bone and cartilage","","Y","52.5","1",""
"57291","331008","Total gram weight","","N","141","1",""
"57292","331008","Separable Lean","","N","72.4","1",""
"57293","331009","Edible portion","","N","78.1","1",""
"57294","331009","Handling loss","","N","2.4","1",""
"57295","331009","Skin and separable fat","","Y","14.3","1",""
"57296","331009","Bone and cartilage","","Y","51.4","1",""
"57297","331009","Total gram weight","","N","146","1",""
"57298","331009","Separable Lean","","N","78.1","1",""
"57299","331010","Edible portion","","N","74.6","1",""
"57300","331010","Handling loss","","N","2.2","1",""
"57301","331010","Skin and separable fat","","Y","15.2","1",""
"57302","331010","Bone and cartilage","","Y","42.3","1",""
"57303","331010","Total gram weight","","N","134","1",""
"57304","331010","Separable Lean","","N","74.6","1",""
"57305","331011","Handling loss","","N","4.6","1",""
"57306","331011","Skin and separable fat","","Y","7.7","1",""
"57307","331011","Bone and cartilage","","Y","38.8","1",""
"57308","331011","Edible portion","","N","69","1",""
"57309","331011","Total gram weight","","N","120","1",""
"57310","331011","Separable Lean","","N","69","1",""
"57311","331012","Handling loss","","N","4.7","1",""
"57312","331012","Skin and separable fat","","Y","10.5","1",""
"57313","331012","Bone and cartilage","","Y","45.5","1",""
"57314","331012","Edible portion","","N","66.2","1",""
"57315","331012","Total gram weight","","N","127","1",""
"57316","331012","Separable Lean","","N","66.2","1",""
"57317","331013","Handling loss","","N","5.9","1",""
"57318","331013","Skin and separable fat","","Y","12.1","1",""
"57319","331013","Bone and cartilage","","Y","50.6","1",""
"57320","331013","Edible portion","","N","90","1",""
"57321","331013","Total gram weight","","N","159","1",""
"57322","331013","Separable Lean","","N","90","1",""
"57323","331014","Handling loss","","N","4.3","1",""
"57324","331014","Skin and separable fat","","Y","12.2","1",""
"57325","331014","Bone and cartilage","","Y","32.4","1",""
"57326","331014","Edible portion","","N","82.3","1",""
"57327","331014","Total gram weight","","N","131","1",""
"57328","331014","Separable Lean","","N","82.3","1",""
"57329","331015","Handling loss","","N","4.9","1",""
"57330","331015","Skin and separable fat","","Y","5.5","1",""
"57331","331015","Bone and cartilage","","Y","34.3","1",""
"57332","331015","Edible portion","","N","40.8","1",""
"57333","331015","Total gram weight","","N","85.5","1",""
"57334","331015","Separable Lean","","N","40.8","1",""
"57335","331039","Skin and separable fat","","Y","7","1",""
"57336","331039","Total gram weight","","N","118","1",""
"57337","331039","Edible portion","","N","72.1","1",""
"57338","331039","Bone and cartilage","","Y","37.9","1",""
"57339","331039","Separable Lean","","N","72.1","1",""
"57340","331039","Handling loss","","N","1.3","1",""
