"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"322374","LAURA LYNN SKIM MILK","2018-04-23","","GA1","2018-04-16","","F0757","","LOCUST GROVE","INGLES","GA","086854013380"
"322380","HARRIS TEETER SKIM MILK","2018-05-07","","NC2","2018-04-22","","370870733","","CHARLOTTE","HARRIS TEETER","NC","72036631299"
"322387","GREAT VALUE, SKIM MILK","2018-05-02","","TX2","2018-04-23","","143833F254","","GRAPEVINE","WALMART","TX","078742352039"
"322393","SUNNYSIDE FARMS SKIM MILK","2018-05-08","","CA3","2018-04-24","","L2PLT067072052","","LIVERMORE","LUCKY","CA","717544204763"
"322399","SE GROCERS SKIM MILK","2018-05-09","","FL","2018-04-23","","0908CSF11297","","NEW PORT RICHEY","WINN DIXIE","FL","038259101155"
"322405","STOP AND SHOP SKIM MILK","2018-05-15","","NY1","2018-04-30","","0709341594258","","EAST MEADOW","STOP AND SHOP","NY","688267008672"
"322411","VALUE CORNER SKIM MILK","2018-05-11","","CO1","2018-04-30","","810HB051422","","PEYTON","SAFEWAY","CO","79893155005"
"322417","FOOD LION SKIM MILK","2018-05-01","","NC1","2018-04-16","","A0858 37102","","ROANOKE RAPIDS","FOOD LION ","NC","035826089755"
"322440","QFC SKIM MILK","2018-05-12","","WA1","2018-04-29","","41451815A3","","SEATTLE","QFC","WA","11110420091"
"322449","DEANS DAIRY PURE SKIM MILK","2018-05-07","","IL1","2018-04-23","","17383180858","","CHICAGO","JEWEL","IL","041900077044"
"322472","PRAIRIE FARMS SKIM MILK","2018-04-30","","TN","2018-04-22","","092947125JG","","MEMPHIS","TARGET","TN","072730232167"
"322493","BASHAS SKIM MILK","2018-05-01","","AZ1","2018-04-15","","2010 TCKW","","TUCSON ","BASHAS MARKET","AZ","NFY121QH7"
"322515","HOOD SKIM MILK","2018-05-11","","MA","2018-04-29","","1057F33308","","READING","STOP AND SHOP","MA","44100110597"
"322521","KEMPS SELECT SKIM MILK","2018-05-15","","MN","2018-04-29","","27168F11624CG","","MINNEAPOLIS","CUB FOODS","MN","41483021786"
"322540","MEIJER SKIM MILK","2018-05-12","","MI1","2018-05-07","","26784","","COMMERCE","MEIJER","MI","41250102311"
"322561","LUCERNE MILK, WHOLE","2018-04-22","","CA2","2018-04-08","","1151 J 062796","","BONITA","VONS MARKET","CA","021130070107"
"322567","MILK, WHOLE PRAIRIE FARMS","2018-05-01","","IN1","2018-04-15","","1249 1855","","NEWBURGH","SCHNUCK MARKET","IN","072730212022"
"322589","GREAT VALUE WHOLE MILK","2018-04-23","","KY1","2018-04-08","","BHG21008","","HARRODSBURG","WALMART","KY","78742352008"
"322613","TURNERS WHOLE MILK","2018-04-22","","PA1","2018-04-07","","0731 095","","PITTSBURGH","SHOP N SAVE","PA","035733000041"
"322629","SHOPRITE WHOLE MILK","2018-04-17","","NJ1","2018-04-08","","1/1/0607","","NEW BRUNSWICK","SAKER SHOPRITE","NJ","41190457991"
"322648","LAND O LAKES WHOLE MILK","2018-04-24","","IA","2018-04-07","","46-138 0113 093","","ESTHERVILLE","FAREWAY","IA","034500614184"
"322667","DEANS DAIRY PURE WHOLE MILK","2018-04-28","","IL","2018-04-08","","17383091337","","CHICAGO","JEWEL","IL","41900076412"
"322690","MILK WHOLE GREAT VALUE","2018-04-29","","NE1","2018-04-15","","4381913","","HASTINGS","WALMART","NE","78742352008"
"322697","LAURA LYNN WHOLE MILK","2018-04-28","","GA1","2018-04-16","","E1023","","LOCUST GROVE","INGLES","GA","086854009123"
"322703","HEB MILK WHOLE","2018-04-24","","TX1","2018-04-08","","PT8B10826081841","","HOUSTON","HEB","TX","041220806126"
"322709","SE GROCERS WHOLE MILK","2018-05-07","","FL1","2018-04-23","","1217IAF11297","","NEW PORT RICHEY","WINN DIXIE","FL","38259101124"
"322716","SUNNYSIDE FARMS WHOLE MILK","2018-05-06","","CA3","2018-04-24","","L3PLT067071742","","LIVERMORE","LUCKY","CA","717544204855"
"322722","HARRIS TEETER WHOLE MILK","2018-05-03","","NC2","2018-04-23","","3708712583","","CHARLOTTE","HARRIS TEETER","NC","072036639967"
"322728","GREAT VALUE, WHOLE MILK","2018-05-01","","TX2","2018-04-23","","141159F254","","GRAPEVINE","WALMART","TX","078742352008"
"322735","STOP AND SHOP STORE BRAND","2018-05-12","","NY1","2018-04-30","","341594258","","EAST MEADOW","STOP AND SHOP","NY","688267008627"
"322741","MARKET PANTRY WHOLE MILK","2018-04-26","","TN","2018-04-22","","1438 47125JG","","MEMPHIS","TARGET","TN","085239284018"
"322764","LUCERNE MILK WHOLE","2018-05-14","","CO1","2018-04-30","","8100434","","PEYTON","SAFEWAY","CO","21130070022"
"322770","PET DAIRY PURE WHOLE MILK","2018-04-26","","NC1","2018-04-16","","A1715","","ROANOKE RAPIDS","FOOD LION","NC","041900076412"
"322794","ALTA DENA DAIRY PURE WHOLE MILK","2018-04-30","","CA1","2018-04-16","","F3 PLT 06101927","","PALMDALE","WALMART","CA","041900076412"
"322815","BASHAS WHOLE MILK","2018-04-30","","AZ1","2018-04-15","","1106 MCRN","","TUCSON","BASHAS MARKET","AZ","031903000781"
"322837","HOOD WHOLE MILK","2018-05-11","","MA","2018-04-29","","8113303","","READING","STOP AND SHOP","MA","44100101892"
"322843","QFC WHOLE MILK","2018-05-12","","WA1","2018-04-29","","41451448","","SEATTLE","QFC","WA","11110401090"
"322852","KEMPS SELECT WHOLE MILK","2018-05-12","","MN","2018-04-29","","271681745","","MINNEAPOLIS","CUB FOODS","MN","41483022226"
"322872","MEIJER W HOLE MILK","2018-05-21","","MI1","2018-05-07","","26784","","COMMERCE","MEIJER","MI","41250102014"
"334722","LowerChoice","","","","2011-07-12","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"334723","LowerChoice","","","","2011-07-12","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"334726","LowerChoice","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"334727","LowerChoice","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"334728","LowerChoice","","","","2011-07-14","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"334729","LowerChoice","","","","2011-07-26","Point of Production","","","Corpus Christi","Sam Kane Beef Processors","TX",""
"334730","LowerChoice","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"334731","LowerChoice","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"334732","LowerChoice","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"334733","LowerChoice","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"334734","LowerChoice","","","","2011-07-14","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"334735","LowerChoice","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"334736","LowerChoice","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"334737","LowerChoice","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"334738","LowerChoice","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"334739","LowerChoice","","","","2011-07-14","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"334740","LowerChoice","","","","2011-07-26","Point of Production","","","Corpus Christi","Sam Kane Beef Processors","TX",""
"334741","LowerChoice","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"334742","LowerChoice","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"334743","LowerChoice","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"334744","LowerChoice","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"334745","LowerChoice","","","","2011-07-14","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"334746","LowerChoice","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"334747","LowerChoice","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
